Marketplace,ListingTitle,BusinessName,AskingPrice,NetProfit,GrossRevenue,Inventory,averagesales,sessions,lastxmonth,Description,BusinessWebsite,ListingLink,updatetime
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:47 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:47 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:47 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:47 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:47 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:47 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:48 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:49 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:49 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:49 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:49 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:49 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:49 PDT
Shopify Exchange,,,,,,,,,,,,data:,2018-07-31 10:37:49 PDT
Shopify Exchange,No Shave Life Beard Co.,No Shave Life Beard Co.,"$175,000","$8,000","$237,808.00","$50,000",500,"163,477",Total revenue for last 12 months,"No Shave Life Beard Co. offers high quality hats, apparel and beard care products for bearded individuals. We have had great success with the No Shave Life brand shipping orders all over the United States and Worldwide with a social media following of over 200k fans combined. The NSL brand has major potential with the large following and the untapped beard lifestyle community that we have yet to reach due to time allocated to new brand projects. I simply am going to follow new opportunities presented as of recent and do not have time to run both brands. Avg. conversion rate 3.48%. Far above industry averages Additional revenue is generated through Amazon at $2-5K/mo. depending on inventory availability as well as wholesale requests and opportunities.
*This is not a drop shipping store. We own and fulfill all of our own inventory.",noshavelife.com,https://exchangemarketplace.com/shops/17fbdcb413ac8ae82450a187b86d25e3,2018-07-31 10:38:08 PDT
Shopify Exchange,Road to Man || Ecommerce Store,Road to Man || Ecommerce Store,"$8,999","$3,500","$125,955.00",,600,"150,029",Total revenue for last 12 months,Ready to get a jumpstart into ecommerce?,roadtoman.com,https://exchangemarketplace.com/shops/road-to-man,2018-07-31 10:38:12 PDT
Shopify Exchange,Black Ivy Lingerie,Black Ivy Lingerie,"$18,000","$5,000","$35,747.00",,110,"60,912",Total revenue for last 11 months,"Price Reduced!! $50,000 In Sales Since December!! We are growing month on month and are on track for $85,000 AUD for FY2018/19.",www.blackivylingerie.com,https://exchangemarketplace.com/shops/black-ivy-lingerie-1,2018-07-31 10:38:16 PDT
Shopify Exchange,TALULA BEACHWEAR,TALULA BEACHWEAR,"$5,000","$2,000","$2,853.00",,15,"14,244",Total revenue for last 3 months,This store specializes in drop-shipping women's swimwear. The store is new but I decided to sell it because I'll be busy all summer and won't have anymore time to take care of it. It already made some sales just a few days after launching and only thanks to its Instagram account so it is a very promising store. 2150 visitors and 2202 € of sales in June 2018 without any paid ad !,talulabeachwear.com,https://exchangemarketplace.com/shops/talula-beachwear,2018-07-31 10:38:24 PDT
